        UB            Time(s)
exec #1
       751                 0.0
exec #2
       751                 0.0
exec #3
       751                 0.0
exec #4
       751                 0.0
exec #5
       751                 0.0
exec #6
       751                 0.0
exec #7
       751                 0.0
exec #8
       751                 0.0
exec #9
       751                 0.0
exec #10
       751                 0.0

solutions/BRKGA/R09_12_12_10             751             751             751             751             751             751             751             751             751             751       36016.602
