        UB            Time(s)
exec #1
       801                 0.0
       789                 7.7
       784                10.3
exec #2
       801                 0.0
       789                 8.0
       784               814.0
exec #3
       801                 0.0
       789                 7.8
       784              2212.2
exec #4
       801                 0.0
       791                 7.0
       789                 7.9
       784              1655.8
exec #5
       801                 0.0
       789                 7.3
       784                85.9
exec #6
       801                 0.0
       789                 8.8
exec #7
       801                 0.0
       789                 7.6
       784                 9.6
exec #8
       801                 0.0
       791                 7.4
       789                 7.7
       784              1036.3
exec #9
       801                 0.0
       789                 8.6
       784              1838.1
exec #10
       801                 0.0
       789                 7.4
       784               456.1

solutions/BRKGA/R06_08_08_20             784             784             784             784             784             789             784             784             784             784       36004.289
