        UB            Time(s)
exec #1
       797                 0.0
       778                13.2
       771               565.9
       770               573.6
       760               579.8
       752               585.2
exec #2
       797                 0.0
       796                13.1
       770                13.5
       760                15.5
       752                42.3
exec #3
       797                 0.0
       778                13.3
       770                16.4
       760                17.2
       752                55.2
exec #4
       797                 0.0
       788                14.4
       778                15.5
       770                17.5
       762                49.3
       752               955.2
exec #5
       797                 0.0
       778                14.8
       760                18.0
       752                34.0
exec #6
       797                 0.0
       780                15.9
       778                16.6
       770                18.6
       760                52.4
       752               141.0
exec #7
       797                 0.0
       778                13.3
       770               434.0
       760               457.6
       752               478.1
exec #8
       797                 0.0
       778                13.4
       770                15.8
       760                41.7
       752                49.6
exec #9
       797                 0.0
       788                14.5
       778                14.8
       770                16.8
       760                51.6
       752                58.6
exec #10
       797                 0.0
       790                13.8
       778                14.1
       770              2214.8
       760              2240.5
       752              2244.6

solutions/BRKGA/R08_10_04_10             752             752             752             752             752             752             752             752             752             752       36006.500
