        UB            Time(s)
exec #1
       797                 0.0
       726                 0.0
       724                 0.4
       721                 0.5
       698                 0.6
       692                 1.6
       687                 1.9
       686                 4.9
       680                 5.5
exec #2
       778                 0.0
       753                 0.0
       751                 0.1
       723                 0.2
       698                 0.3
       693                 1.1
       687                 1.3
       685                 3.8
       680                 4.0
exec #3
       780                 0.0
       747                 0.0
       692                 0.2
       691                 1.4
       687                 1.9
       686                 6.9
       685                 8.0
       680                 8.4
exec #4
       765                 0.0
       749                 0.0
       712                 0.3
       708                 0.3
       704                 0.9
       700                 1.0
       693                 1.0
       685                 1.1
       680                 1.7
exec #5
       786                 0.0
       732                 0.0
       729                 0.3
       727                 0.3
       700                 0.4
       699                 0.6
       698                 0.8
       685                 1.3
       680                 5.9
exec #6
       758                 0.0
       733                 0.1
       724                 0.3
       703                 0.4
       698                 0.7
       690                 1.0
       685                 1.2
       680                 5.4
exec #7
       785                 0.0
       761                 0.0
       735                 0.1
       705                 0.2
       703                 0.4
       686                 0.6
       680                 1.6
exec #8
       775                 0.0
       743                 0.0
       733                 0.1
       719                 0.2
       715                 0.4
       708                 0.6
       704                 0.7
       698                 0.9
       686                72.6
       685                73.7
       680                74.6
exec #9
       760                 0.0
       746                 0.0
       728                 0.1
       693                 0.2
       686                 0.7
       680                 1.2
exec #10
       751                 0.0
       733                 0.1
       726                 0.3
       725                 0.5
       700                 0.6
       698                 0.8
       680                 1.4

solutions/BRKGA/R06_08_01_01             680             680             680             680             680             680             680             680             680             680       36001.433
