        UB            Time(s)
exec #1
       622                 0.0
       620                 7.6
       618                 8.3
       617                 8.5
       615                 8.7
       609                 8.9
       598                 9.4
       597                10.3
       592                10.5
       582                11.6
       579              1976.8
       576              2021.3
       574              2027.4
       571              2030.2
exec #2
       622                 0.0
       617                 5.4
       607                 5.8
       588                 7.2
       586                10.7
       579                11.8
       576                15.1
       574                16.8
       571                17.6
exec #3
       622                 0.0
       618                 4.4
       614                10.4
       606                11.0
       599                11.6
       588                12.1
       581                14.5
       576                15.1
       575                15.6
exec #4
       622                 0.0
       604                 7.8
       595                10.3
       593                11.2
       590                11.4
       585                12.0
       580                14.4
       576                15.1
       575                16.2
       571                16.6
exec #5
       622                 0.0
       620                 6.2
       603                 8.2
       594                10.0
       584                10.3
       579                13.5
       576                14.9
       575                18.1
exec #6
       622                 0.0
       620                 8.7
       617                 8.9
       616                 9.3
       614                 9.6
       612                 9.9
       603                10.1
       600                10.3
       593                10.5
       591                11.0
       585                11.1
       578                11.3
       576                13.6
       575                16.3
exec #7
       622                 0.0
       616                 9.5
       585                11.4
       583                12.0
       575                20.1
       571                32.4
exec #8
       622                 0.0
       614                 7.3
       611                 8.1
       609                 8.2
       594                 9.4
       591                11.5
       583                12.4
       582                15.5
       581                15.7
       579                16.2
       578                17.5
       576                22.0
       575                23.0
exec #9
       622                 0.0
       614                 8.0
       612                 9.2
       609                 9.6
       596                10.6
       592                10.8
       591                12.4
       586                14.4
       582                16.0
exec #10
       622                 0.0
       604                 9.5
       600                11.7
       599                12.2
       594                12.8
       584                13.9
       581                16.3
       579                18.7
       576                22.1
       575                67.4

solutions/BRKGA/R05_10_02_05             571             571             575             571             575             575             571             575             582             575       36003.825
