             UB              LB           Time(s)
            671             473               0.1
            671             563               0.1
            671             565               0.1
            671             574               0.2
            671             576               0.2
            671             588               0.2
            671             590               0.3
            671             593               0.7
            671             594               1.6
            671             595               3.8
            671             596               4.7
            671             597               8.5
            671             598              11.0
            654             598              16.1
            654             599              17.9
            654             600              24.6
            646             600              39.4
            646             601              39.8
            646             602              56.5
            646             603              78.6
            646             604             112.6
            646             605             241.8
            646             606             308.3
            638             606             332.8
            638             607             375.2
            634             607             381.8
            634             608             447.4
            632             608             482.1
            632             609             529.0
            632             610             618.7
            632             611             737.2
            632             612             858.6
            632             613            1023.8
            632             614            1175.6
            632             615            1326.2
            632             616            1481.6
            632             617            1639.0
            632             618            1811.0
            632             619            1976.2
            632             620            2144.3
            632             621            2309.9
            632             622            2460.9
            632             623            2593.1
            632             624            2709.0
            632             625            2794.8
            632             626            2861.6
            632             627            2914.0
            632             628            2952.2
            632             629            2970.1
            632             630            2981.5
            632             631            2986.5
            632             632            2988.9

../solutions/ILP2/R09_10_01_01         632.000             632             632             620              12         0.00000        2988.878               1

