             UB              LB           Time(s)
            622             366               0.2
            622             456               0.2
            622             463               0.3
            622             480               0.4
            622             483               0.4
            622             484               0.4
            622             485              11.1
            622             486              32.2
            622             487              32.5
            622             488              33.3
            622             489              34.6
            622             490              35.6
            622             491              37.7
            622             492              42.4
            622             493              47.6
            622             494              54.9
            622             495              59.9
            622             496              62.4
            622             497              62.8
            622             498              64.5
            622             499              72.2
            622             500              72.8
            622             501              83.3
            622             502              85.4
            622             503              99.6
            622             504             108.3
            622             505             118.4
            622             506             125.4
            622             507             135.2
            622             508             160.2
            622             509             167.1
            622             510             181.7
            622             511             192.6
            622             512             200.7
            622             513             753.0
            622             514             786.3
            622             515             821.0
            622             516             866.1
            622             517             922.2
            622             518             966.6
            622             519            1015.4
            622             520            1086.8
            622             521            1125.8
            622             522            1194.9
            622             523            1259.2
            622             524            1350.2
            622             525            1430.2
            622             526            1539.0
            622             527            1671.7
            622             528            1793.7
            622             529            1932.4
            617             529            1981.5
            614             529            1983.1
            604             529            1986.0
            604             530            2092.0
            604             531            2207.8
            604             532            2341.0
            604             533            2453.7
            604             534            2574.2
            604             535            2767.2
            604             536            3159.5

../solutions/ILP2/R05_10_04_10         536.000             536             604             524               8         0.11258        3600.005               0

