             UB              LB           Time(s)
            909             656               0.5
            909             677               0.6
            909             678               0.6
            909             714               0.7
            909             722               0.8
            909             724               0.9
            909             725               1.0
            909             726               1.0
            909             727               1.7
            909             730               2.4
            909             731               2.4
            909             732               8.8
            909             733              13.6
            909             734              14.1
            909             735              14.8
            909             736              16.6
            909             737              17.2
            909             738              18.6
            909             739              21.2
            909             740              21.3
            909             741              25.2
            909             742              92.9
            909             743             114.5
            909             744             141.3
            909             745             152.1
            909             746             255.2
            909             747             377.3
            909             748             561.6
            909             749             587.0
            909             750             737.2
            909             751             869.5
            909             752             982.5
            909             753            1067.9
            909             754            1193.4
            909             755            1256.0
            909             756            1528.9
            909             757            1863.5
            909             758            2114.4
            909             759            2300.5
            909             760            2571.1
            909             761            3166.1

../solutions/ILP2/R09_15_03_20         760.664             761             909             909               0         0.16282        3600.014               0

