             UB              LB           Time(s)
            590             375               0.0
            590             448               0.1
            590             449               0.1
            590             453               0.2
            590             455               0.2
            590             457               0.7
            511             457               1.2
            511             461               1.3
            510             461               1.5
            510             462               2.0
            510             465               2.1
            509             465               2.4
            509             471               3.2
            509             474               3.3
            509             475               3.5
            509             479               3.5
            509             483               4.6
            509             490               4.6
            509             491               5.0
            509             498               5.3
            509             500               5.6
            509             501               6.0
            508             501               6.9
            507             501               7.4
            507             502               9.5
            507             503              14.4
            507             504              18.0
            507             505              22.5
            507             506              26.6
            507             507              27.0

../solutions/ILP2/R05_08_03_01         507.000             507             507             500               7         0.00000          26.956               1

