             UB              LB           Time(s)
           1199             732               0.6
           1199             797               0.8
           1199             803               1.0
           1199             806               1.0
           1199             807               1.2
           1199             810               1.2
           1199             811               1.3
           1199             814               1.4
           1199             815               1.4
           1199             816               5.7
           1199             817              91.4
           1199             818             141.8
           1199             819             302.7
           1199             820             469.0
           1199             821             674.2
           1199             822             738.7
           1199             823             828.3
           1199             824             977.7
           1199             825            1246.7
           1188             825            1695.2
           1188             826            1962.0
           1188             827            2881.2

../solutions/ILP2/R08_20_01_20         826.448             827            1188            1168               1         0.30387        3600.031               0

