             UB              LB           Time(s)
            689             437               0.7
            689             472               0.7
            689             476               0.8
            689             483               0.9
            689             485               1.0
            689             497               1.1
            689             502               1.1
            689             503               3.7
            689             504               7.8
            689             505              16.6
            689             506             102.0
            689             507             146.2
            689             508             207.2
            689             509             231.5
            689             510             299.0
            689             511             346.7
            689             512             378.8
            689             513             447.1
            689             514             571.9
            689             515             592.6
            689             516            1075.1
            689             517            1085.5
            689             518            1097.8
            689             519            1137.3
            689             520            1141.8
            689             521            1157.0
            689             522            1160.1
            689             523            1212.8
            689             524            1261.6
            689             525            1323.0
            689             526            1348.7
            689             527            1520.6
            689             528            1581.4
            689             529            1664.9
            689             530            1788.4
            689             531            1887.2
            689             532            2006.8
            689             533            2101.0
            689             534            2260.3
            689             535            2424.0
            689             536            2601.5
            689             537            2783.7
            689             538            3029.0
            689             539            3208.9
            689             540            3531.7

../solutions/ILP2/R07_12_12_20         539.273             540             689             689               0         0.21626        3600.008               0

