             UB              LB           Time(s)
            872             543               0.2
            872             658               0.3
            872             659               0.3
            872             690               0.3
            872             694               0.4
            872             705               0.4
            872             708               0.4
            872             713               0.4
            872             714               0.6
            872             715               0.8
            872             717               1.6
            811             717               1.9
            799             717               2.0
            793             717               2.8
            793             722               2.8
            793             723               2.8
            791             723               3.0
            787             723               3.6
            787             728               5.1
            787             729               6.3
            787             730               6.9
            787             731               7.2
            787             732              15.1
            770             732              17.5
            764             732              17.6
            760             732              18.0
            758             732              24.8
            754             732              33.0
            754             733              47.1
            754             734              65.4
            754             735             144.9
            754             736             204.4
            754             737             342.3
            754             738             537.1
            754             739             997.0
            754             740            1119.2
            754             741            1337.6
            754             742            1763.2
            754             743            2276.8
            754             744            2809.9
            754             745            3410.0

../solutions/ILP2/R06_10_05_02         744.254             745             754             734              10         0.01194        3600.004               0

