             UB              LB           Time(s)
            501             410               0.0
            501             427               0.0
            501             430               0.1
            479             430               0.1
            479             439               0.1
            466             439               0.1
            466             440               0.1
            466             447               0.1
            466             466               0.2

../solutions/ILP2/R05_06_03_00         466.000             466             466             466              20         0.00000           0.207               1

