             UB              LB           Time(s)
            650             429               0.1
            650             480               0.1
            650             482               0.2
            650             483               1.0
            650             484               1.6
            650             485               3.1
            650             486               5.5
            650             487               6.1
            650             490               6.3
            650             492               6.3
            650             493               7.4
            650             494               8.7
            649             494              12.1
            649             495              14.5
            649             496              15.5
            649             498              16.1
            649             499              16.8
            649             500              17.1
            649             501              18.8
            649             502              20.2
            649             503              20.9
            649             504              24.2
            649             505              24.4
            649             506              28.8
            649             507              30.4
            649             508              37.7
            620             508              39.9
            620             509              41.0
            620             510              44.3
            613             510              45.9
            613             511              47.6
            613             512              55.8
            613             513              62.0
            613             514              68.0
            613             515              74.6
            613             516              83.6
            613             517              90.1
            613             518             109.0
            613             519             120.5
            613             520             143.1
            613             521             151.0
            603             521             152.9
            603             522             165.2
            603             523             669.2
            603             524             699.2
            603             525             737.1
            603             526             794.7
            603             527             844.6
            603             528             895.5
            603             529             970.6
            603             530            1038.3
            603             531            1124.4
            603             532            1196.2
            603             533            1287.9
            603             534            1393.2
            603             535            1536.3
            593             535            1620.6
            593             536            1685.6
            593             537            1821.4
            593             538            1996.0
            593             539            2199.5
            593             540            2416.4
            593             541            2628.7
            593             542            2851.0
            593             543            3108.6
            593             544            3407.9

../solutions/ILP2/R07_10_04_10         543.566             544             593             533               6         0.08263        3600.007               0

