             UB              LB           Time(s)
            801             529               0.1
            801             661               0.1
            801             667               0.2
            801             668               0.7
            801             669               0.7
            769             669               0.8
            769             670               1.6
            769             671               4.0
            752             671              15.5
            752             672              16.7
            739             672              18.0
            739             673              18.6
            739             674              22.1
            739             675              25.2
            739             676              30.3
            739             677              38.0
            739             678              50.0
            739             679              64.2
            739             680              76.5
            739             681              97.5
            739             682             119.1
            739             683             144.6
            732             683             159.5
            732             684             188.5
            732             685             345.5
            732             686             372.8
            732             687             404.8
            732             688             448.6
            732             689             487.8
            732             690             541.8
            732             691             591.2
            732             692             657.1
            732             693             720.8
            732             694             799.6
            732             695             876.7
            732             696             975.8
            732             697            1070.0
            732             698            1164.5
            732             699            1268.4
            732             700            1368.2
            732             701            1482.7
            732             702            1586.3
            731             702            1601.6
            731             703            1712.1
            731             704            1830.9
            731             705            1950.9
            731             706            2080.3
            731             707            2230.4
            731             708            2356.6
            731             709            2505.7
            731             710            2645.4
            731             711            2794.1
            731             712            2935.1
            731             713            3092.3
            731             714            3218.5
            731             715            3349.8
            731             716            3478.0

../solutions/ILP2/R06_08_05_10         715.868             716             731             701               3         0.02052        3600.005               0

