             UB              LB           Time(s)
            671             473               0.2
            671             565               0.2
            671             586               0.3
            671             589               0.4
            671             592               0.4
            671             593               2.2
            671             594               6.3
            671             595              17.9
            630             595              21.9
            628             595              26.8
            623             595              30.1
            621             595              30.8
            621             596              33.5
            621             597              36.2
            619             597              38.6
            619             598              40.5
            619             599              56.6
            619             600              72.7
            619             601             141.4
            619             602             262.1
            619             603             973.0
            619             604            1172.9
            619             605            1419.9
            618             605            1666.0
            618             606            1752.2
            618             607            2043.3
            618             608            2475.4
            618             609            2972.1
            618             610            3501.2

../solutions/ILP2/R09_10_04_02         609.202             610             618             598              10         0.01294        3600.007               0

