             UB              LB           Time(s)
           1167             637              16.8
           1167             699              18.0
           1167             732              24.4
           1167             735              24.7
           1167             739              25.1
           1167             741              26.8
           1167             743              30.4
           1167             744              30.9
           1167             745             715.2

../solutions/ILP2/R07_20_20_01         744.483             745            1167            1167               0         0.36161        3600.015               0

